filesize,size_w,size_h,aspect_ratio,landscape,sum_pixels,std_pixels,mean_pixels,pop_b,pop_n_b,rare_b,rare_n_b,pop_g,pop_n_g,rare_g,rare_n_g,pop_r,pop_n_r,rare_r,rare_n_r,mean_value_b,mean_value_g,mean_value_r,median_value_b,median_value_g,median_value_r,std_deviation_b,std_deviation_g,std_deviation_r,color_diversity,contrast,brightness,hist_std,hue,saturation,value,hog_features_mean,hog_features_median,hog_features_std,hog_features_len,hog_variance,h_mean,h_median,h_std,s_mean,s_median,s_std,v_mean,v_median,v_std,color_harmony,n_objects,area,area_mean,area_std,vert,vert_mean,vert_std,color_mean,color_std,object_density,shape_complexity,corners,lines,edge_density,faces,blink,has_humans,has_text,sharpness,blur_metric,gaussian_blur,edge_sharpness,gibson_blur,spectrum,gradient,gradient_magnitude,gradient_direction,texture_energy,color_balance,focus_score,average_hash,dhash,phash,colorhash,dominant_frequency,frequency_spread,frequency_asymmetry,phase_congruency,symmetry_0,symmetry_1,dominant_b,dominant_g,dominant_r,filename
23850,800,550,0.6875,1,181127928,46.218383190407216,137.2181272727273,127,274646,251,3,125,274598,243,1,131,274193,247,2,134.83114090909092,133.39598409090908,143.42725681818183,127.0,125.0,131.0,48.341068416950144,44.75262738625111,44.8319139501045,45.975203251101924,44.72841697699661,136.53206818181818,0.0224487077065918,0.0039062498,0.00038749998,0.03884447,0.011654707828856069,0.0,0.019131283812952517,54400,0.036600602033173904,131.96391818181817,170.0,63.07597340374279,26.429329545454546,12.0,31.503306915242177,145.05546363636364,131.0,47.615125425011605,47.39813524799886,390,112329.5,288.02435897435896,5570.769161899986,1323,3.3923076923076922,3.0335630751587264,130.22587500045043,10.566888601768069,0.0008863636363636364,8.652251560341492,431,19,0.03180909090909091,1,1,1,84450.0,102.20774772727273,102.20774769168906,2509012,6.24128634504132,3217467.442260305,3746.364674786719,1550.9917272727273,13.912441591271858,62.164964690339396,0.38643096082523715,45.975203251101924,1550.9917272727273,8899306749566,5572802335491090644,10479179752624019609,541165879296,658801,1.796513502831806,126.99999999999999,718922.1279048803,0.7487709090909092,0.8031355436720142,125,125,135,blinked01.jpg
31972,626,580,0.9265175718849841,1,240541249,47.02519310899811,220.83402096874886,250,102649,1,5,250,103128,1,6,250,103092,1,2,210.41174947669936,218.04861187617055,234.04170155337667,250.0,250.0,250.0,53.73055234040473,46.556396682436926,35.900013379693654,45.395654134178436,43.2579125950535,221.96633524292167,0.020861229270421666,0.00390625,0.00017076125,0.021063296,0.01448169080647393,0.0,0.02164946729571871,44928,0.0468699434188394,7.334177040872535,0.0,21.997226350308292,28.565440123388786,0.0,36.86800598671504,234.06307700782196,250.0,35.90288270275315,31.589371679925495,1,361875.0,361875.0,0.0,4,4.0,0.0,220.83402096874886,9.84589717077728,2.7542139473394295e-06,4.002922593791012,151,0,0.022130109066872315,1,1,1,231657.0,91.78892805993169,91.78892798407476,1507874,6.425534304754232,2602583.7642308148,3537.9685082290584,1743.4029415004957,12.607346411593031,75.30096878399532,0.10935957952064335,45.395654134178436,1743.4029415004957,16700407106576548096,5590821559717467953,12732885230395708105,541165879296,581242,1.8140526174285994,249.71034482758625,1026838.6965413517,0.6219349199045782,0.540548553011598,249,249,250,blinked02.jpg
40086,800,534,0.6675,1,251233313,42.70278750337262,196.0309870474407,196,59185,1,12,213,59084,2,1,200,59586,4,1,186.20361189138578,201.19349719101123,200.6958520599251,195.0,212.0,200.0,46.33103858426595,42.92395263234509,36.55904206577373,41.93801109412826,40.18507164914438,199.23639513108614,0.009410438238927976,0.0039062498,0.00031835207,0.015288728,0.023510439575605876,0.017420523471529885,0.024990637387556604,52800,0.062453195703634175,38.18069054307116,53.0,23.295269413579234,31.668012640449437,20.0,34.41940196299867,209.03747425093633,213.0,36.67226041797346,31.46231059818379,1,425867.0,425867.0,0.0,4,4.0,0.0,196.0309870474407,6.951972838099395,2.3408239700374533e-06,4.082227709726435,340,35,0.0362687265917603,1,1,1,425867.0,198.09102762172284,198.09100723243918,2967972,7.662779636409547,3257260.671374881,4333.523925196624,1968.4270786516854,16.136794688166564,108.80517212928008,0.03741890239448063,41.93801109412826,1968.4270786516854,16700407088792731647,5591102518253709520,12926604657120993741,541165879296,634801,1.8182206950287116,194.9176029962547,202980.82069419115,0.5548529044576632,0.5688918263934788,187,205,202,blinked03.jpg
43301,1200,628,0.5233333333333333,1,435876631,61.01809341884638,192.797519019816,151,66159,236,1,238,156151,254,3,255,369340,3,1,138.46339579349905,212.35251816443593,227.62071701720842,142.0,237.0,254.0,32.33440771191981,46.66359663615031,58.027142665355605,45.675049004475234,45.02113157733286,208.59543212237094,0.013036721094918982,0.0039062498,0.00060133846,0.033198033,0.01540879341741582,0.0,0.023004009851577124,65000,0.05291844692514573,30.73553154875717,25.0,23.546762250068305,115.95234416826004,112.0,21.92189918579458,235.96134225621415,254.0,42.83827166171819,29.435644365860355,1,521352.5,521352.5,0.0,4,4.0,0.0,192.8122103250478,38.93263159861716,1.9120458891013386e-06,4.306418724182416,549,10,0.024260038240917783,1,1,1,426098.0,87.2174206500956,87.21742062113705,2676846,5.64261185221311,3842627.1717804293,4137.134327632067,1582.2345544933078,13.69963292591288,66.55897983559653,0.075847601103994,45.675049004475234,1582.2345544933078,16710579925595702147,5498284421285713415,16614687029703738316,51539607552,787501,1.7808311328292792,136.2600382409177,3404776.725016347,0.6264080880790812,0.5914749447006336,139,228,251,blinked04.jpg
44778,958,639,0.6670146137787056,1,320694805,73.8144605724667,174.6241490542264,219,15414,1,9,218,16039,254,26,218,16015,254,29,175.67626053234275,174.25656443882502,173.9396221915114,211.0,211.0,212.0,71.42545180792943,73.53971430202742,76.38277547444774,73.78264719480153,74.02645468568224,174.32494993155407,0.00472876716948247,0.00390625,0.000982583,0.0048177815,0.024447380013157712,0.01699517822854646,0.02522900759602794,75208,0.06365028242804355,59.42877865663011,30.0,61.3821713649703,26.393217808357917,2.0,51.84388919953859,178.02207748929206,212.0,70.10755140397565,61.11120398949485,56,468574.5,8367.401785714286,61635.815694997305,225,4.017857142857143,3.248577004015821,130.69137051532167,13.868789901255173,9.147905293043344e-05,7.453791977513293,448,91,0.03440429167442605,1,1,1,466822.0,122.37579104877467,122.37579079727115,3794529,15.400856259192524,4546201.428115644,5728.813758204709,4078.5998902251363,27.391836288918583,136.0824310005678,0.0027094509337606994,73.78264719480153,4078.5998902251363,18446744056291721472,13237823212814054371,16759326774417505606,421007458304,1625248,1.8660957703756074,194.9749608763694,2805825.1125055384,0.510792096064622,0.5094965271805427,221,220,221,blinked05.jpg
55768,533,800,1.5009380863039399,0,199550128,45.69878601304076,155.99603502188867,137,13593,229,1,147,12791,240,1,234,13921,3,1,137.96093808630394,155.95880393996248,174.06836303939963,135.0,147.0,158.0,41.17167888349667,42.99782523052531,45.49001939934215,43.219841171121374,43.115626840907645,159.35161350844277,0.004242890783411191,0.00390625,0.0005077392,0.0065556923,0.026285096401274962,0.02956561935257797,0.022867432381353758,52800,0.052291946371578635,15.378810975609756,15.0,2.1448078352176143,55.34342636022514,39.0,34.21041441836924,174.0683818011257,158.0,45.4899837470034,27.281735333530083,42,388441.0,9248.595238095239,59208.34759531057,131,3.119047619047619,2.5185254657322704,127.74886629114853,9.545139194133498,9.849906191369606e-05,5.261493845657973,443,163,0.03825046904315197,1,1,1,149995.5,341.46869371482177,341.4686934970148,3366227,9.547858812725723,3333156.342532327,4654.836693662639,2112.9893996247656,19.21740489756785,116.7998069174883,0.005694330388224093,43.219841171121374,2112.9893996247656,26646983802879,14749908293918313523,11334979938030865871,472446402560,526870,1.8359936137123172,134.99375000000003,704807.3159444326,0.5050655679407473,0.536880746545022,122,137,152,blinked06.jpg
64970,738,1106,1.4986449864498645,0,525101644,26.394523011433574,214.44238782954437,241,37018,39,1,234,42768,40,1,225,38916,72,1,211.5107271364318,213.29121289355322,218.54287856071963,218.0,218.0,224.0,30.883744074333666,25.6157998030334,21.05835013601164,25.8526313377929,24.32969889150595,214.58618590704648,0.006087418810534176,0.0039062498,5.247376e-06,0.007682868,0.025151659640929802,0.027498230081107147,0.0219620986116973,83000,0.048233377542991646,53.68644827586207,19.0,51.577746603420024,20.290263868065967,17.0,11.580044949818586,223.5377376311844,229.0,22.64451421751093,28.600768590249846,1,665333.0,665333.0,0.0,4,4.0,0.0,214.44827286356823,2.9851721607736095,1.4992503748125936e-06,4.083501600840946,1000,0,0.008643178410794603,1,1,1,489990.0,22.97261469265367,22.972614191890557,1526044,3.1787075995675327,4456678.027303373,2524.3781281666224,502.71749925037483,12.772230738735852,118.30546847731144,0.007663240702887632,25.8526313377929,502.71749925037483,18228443189034012671,14187114128045120548,16521897462961164891,532576206848,999499,1.732721475894228,230.52199999999993,6511875.062521233,0.5245525786126545,0.5090602777042851,236,233,234,blinked07.jpg
82505,800,1200,1.5,0,554581396,50.929461174880494,192.5629847222222,249,93109,4,2,249,69631,3,1,249,69654,6,1,170.47456071964018,187.51942128935534,219.77111094452775,164.0,189.0,230.0,54.06531843230225,46.96964572794765,37.13269844021801,46.055887533489305,43.47670690747368,195.21144527736132,0.007024580422986215,0.00390625,0.0010592204,0.00973654,0.026889670063834772,0.0353553390538031,0.0192154833357392,83000,0.03692347998260708,16.56225187406297,10.0,32.29490287012537,59.793094452773616,68.0,41.58209740113449,219.88586656671663,230.0,37.20572513142176,37.027575134227206,118,621171.0,5264.161016949152,56928.77395251707,339,2.8728813559322033,2.4409869154743142,129.11794691375871,23.77414890106157,0.00017691154422788606,5.748093169368857,1000,177,0.03027886056971514,1,1,1,575255.0,58.47990254872564,58.479902091530704,2976049,4.977532119076896,4801108.343754196,3830.725757998843,1010.1297331334333,18.574746209436462,138.11165875791977,0.010064281899403282,46.055887533489305,1010.1297331334333,9347381494164997116,8174371058826481481,16882387986424736829,541165879296,321160,1.7772677214222357,239.166,2613004.889955437,0.5316281937462641,0.5185927663619171,152,178,223,blinked08.jpg
91696,1300,957,0.7361538461538462,1,634521548,66.05525088625838,170.00818476542614,1,102163,11,186,1,103534,12,86,1,102685,43,79,161.92757472826088,174.39346875,173.80886820652174,180.0,188.0,190.0,71.51645229516133,63.93385344064448,60.61437100810741,65.35489224797108,62.97988017793954,172.79890625,0.006164696585852633,0.00390625,0.00039266306,0.0071225083,0.022778798568592093,0.014357423935633279,0.02397317858041229,92000,0.05747132912483386,53.538302989130436,27.0,40.65909255428046,42.71491032608696,30.0,35.09252937449177,183.31954347826087,198.0,65.06571308825328,46.939111672341845,36,662587.5,18405.208333333332,108637.394530202,306,8.5,3.947573094109004,142.22587554771684,34.45777925346442,4.891304347826087e-05,12.16788376226786,212,21,0.025486413043478262,2,1,1,665398.5,209.30194836956522,209.30194827858432,3399402,19.53239537945822,5642040.9602444805,6209.415265858382,4806.489065217392,24.067233707920582,133.5017528017802,0.00885287401301958,65.35489224797108,4806.489065217392,18406309516351110912,14322734148920326195,13953623647514606748,472446402560,1216501,1.7359417405165865,141.7581521739131,1327494.4347062416,0.5038790565501563,0.545616368286445,219,216,207,blinked09.jpg
97188,952,615,0.6460084033613446,1,312473505,77.94010683599213,177.90161064425772,242,92643,2,6,242,93259,2,2,242,90836,10,1,170.6167486506798,174.26913643506182,188.8189468470315,237.0,238.0,239.0,82.66630189513309,79.67363118445138,69.6916312962767,77.34385479195372,76.40711680755878,178.2138911662226,0.014359791984985007,0.0039062498,0.0022656624,0.014276138,0.02282078927808608,0.014376542368313618,0.02471361730405718,72352,0.06107628802513943,24.884445241511237,5.0,50.92899070857248,36.92762861242058,3.0,51.114120815990105,189.09807166769147,239.0,69.37589389939333,57.13966847465198,228,492951.0,2162.065789473684,31825.069318533206,730,3.2017543859649122,2.8963977159822907,128.50406893844342,27.258307882752142,0.00038942406230785,9.929370557944981,990,6831,0.0992126118740179,8,5,1,482413.5,655.5940920270547,655.5940043244761,11938418,53.48899720282543,4690909.135939694,8314.266267806339,12756.94107057457,51.38308944003486,118.83289654399451,0.041069626140738266,77.34385479195372,12756.94107057457,13816767682571076864,7373893858885981541,10274289190864325019,472446402560,7141,1.8097278711364961,238.12195121951208,189766.513480594,0.520015360839059,0.5409826918173615,237,238,240,blinked10.jpg
