filesize,size_w,size_h,aspect_ratio,landscape,sum_pixels,std_pixels,mean_pixels,pop_b,pop_n_b,rare_b,rare_n_b,pop_g,pop_n_g,rare_g,rare_n_g,pop_r,pop_n_r,rare_r,rare_n_r,mean_value_b,mean_value_g,mean_value_r,median_value_b,median_value_g,median_value_r,std_deviation_b,std_deviation_g,std_deviation_r,color_diversity,contrast,brightness,hist_std,hue,saturation,value,hog_features_mean,hog_features_median,hog_features_std,hog_features_len,hog_variance,h_mean,h_median,h_std,s_mean,s_median,s_std,v_mean,v_median,v_std,color_harmony,n_objects,area,area_mean,area_std,vert,vert_mean,vert_std,color_mean,color_std,object_density,shape_complexity,corners,lines,edge_density,faces,blink,has_humans,has_text,sharpness,blur_metric,gaussian_blur,edge_sharpness,gibson_blur,spectrum,gradient,gradient_magnitude,gradient_direction,texture_energy,color_balance,focus_score,average_hash,dhash,phash,colorhash,dominant_frequency,frequency_spread,frequency_asymmetry,phase_congruency,symmetry_0,symmetry_1,dominant_b,dominant_g,dominant_r,filename
3298190,640,1136,1.775,0,294966681,66.72910388408414,135.236337753081,0,42240,1,2,0,42240,3,1,0,42240,10,2,132.99299111900532,134.94696092362344,137.63033925399645,136.0,138.0,140.0,67.23630706826607,66.8005470191558,65.27053142716434,66.43579517152874,66.36867187809676,135.5215861456483,0.003757486333541242,0.00390625,0.00013499112,0.0038231048,0.02821522534223476,0.0353553390538031,0.019846940774907097,70000,0.039390105812267,32.36072468916519,15.0,43.280209424024704,15.146433392539965,6.0,23.85364924132856,137.87346358792183,141.0,65.41986460400541,44.18457442311956,42,365184.5,8694.869047619048,55595.472796701746,178,4.238095238095238,3.022215552880463,130.7061786738794,7.899207381811395,7.460035523978686e-05,5.690784695472798,1000,14875,0.1446802841918295,0,0,0,359854.5,258.43775843694493,258.4377582365973,9261023,35.9133907630557,4219678.248250972,6833.024702589209,8946.252774422735,61.07233129181796,165.90851490010616,0.003384630572376695,66.43579517152874,8946.252774422735,513145440163536643,18446741874635964158,9274685872968657495,541165879296,896014,2.081748291368651,11.644000000000021,8657341.772521876,0.5331592333321724,0.5303121141410976,127,129,132,2019-08-08 13.22.41.PNG
65733,546,854,1.564102564102564,0,173554977,26.17677451579416,124.06957776805552,133,14386,193,1,133,14386,193,1,133,14386,193,1,124.06957776805552,124.06957776805552,124.06957776805552,131.0,131.0,131.0,26.17677451580164,26.17677451580164,26.17677451580164,26.17677451580164,26.17677451579417,124.06957776805552,0.006607512859678653,0.00390625,0.0,0.0066075125,0.02436062102001641,0.0140618095028634,0.025606504056137402,57664,0.06556930499769813,0.0,0.0,0.0,0.0,0.0,0.0,124.06957776805552,131.0,26.17677451579417,8.725591505264722,1690,239083.5,141.46952662721893,728.1541158155093,4652,2.752662721893491,2.573719365325322,131.98122114749378,8.080883003948843,0.003624400579904093,10.552688355546831,680,13621,0.16771538375753833,1,0,1,378059.5,2880.3015222482436,2880.301521910461,17824900,64.40747675749492,3936702.274498466,7872.19816457862,17101.422600818387,72.48189498316422,143.04303542419086,0.0017032619370495011,26.17677451580164,17101.422600818387,17592186031767552,16493564938999364844,9719394564287717998,481036337152,9010,1.037501826719492,115.51053864168618,17115350.412629087,0.5161332460684989,0.5123439203340017,140,140,140,docs001.JPG
72429,768,1024,1.3333333333333333,0,467075999,24.28154512532404,197.9726151360406,187,24966,242,1,217,25342,0,1,216,31935,4,1,190.88153066666666,198.88609866666667,204.14770933333332,193.0,203.0,210.0,21.043196771182757,22.525958532763976,21.185726782094015,21.58496069534691,21.753801724787778,199.57989066666667,0.007426702220859189,0.00390625,1.3333333e-06,0.008843333,0.02363123154728277,0.013104471355858988,0.02579395927541274,93000,0.06653283351016509,18.005425333333335,16.0,12.050533096053947,16.72538,15.0,9.235481932323115,204.22305066666667,210.0,21.237122727277175,14.174379251884744,1,748244.0,748244.0,0.0,4,4.0,0.0,197.97177955555557,5.454347420892052,1.3333333333333334e-06,4.049461217927337,575,6653,0.08549066666666667,0,0,0,707192.0,762.7716573333333,762.7716572763717,15028719,50.015767992255995,6059011.908420793,7364.6415975579885,10339.870024,41.97837971590474,105.89191115759333,0.0065835536942569755,21.58496069534691,10339.870024,4828710952235896579,10851122980519132862,11665863348929611666,541165879296,1157626,1.511033442525987,174.31199999999998,22438006.6192728,0.529116165577342,0.5053714126361656,201,212,215,docs002.JPG
74223,768,1024,1.3333333333333333,0,461263295,24.353831592119064,195.5088700188531,186,22868,1,1,210,21274,0,1,213,25015,1,1,189.472644,196.10742,200.94767866666666,192.0,199.0,205.0,21.918113992395327,22.426603449399384,21.359280320547775,21.901332587447495,21.92449911249811,196.824144,0.007284758688977679,0.0039062498,0.0,0.008329259,0.02397614867155368,0.014273236967074852,0.025711053499975017,93000,0.06610582720785774,18.424777333333335,17.0,8.609625323850407,14.828789333333333,13.0,7.603962403967611,201.01881733333335,205.0,21.411640990544516,12.541742906120845,1,748251.0,748251.0,0.0,4,4.0,0.0,195.50924755555556,4.703719298262448,1.3333333333333334e-06,4.041548278029745,636,6898,0.08822666666666666,0,0,0,707417.0,766.6626253333334,766.6626252737971,15630041,52.99723465693154,6041626.797051564,7455.008321052908,10783.245194666666,43.77758024896847,109.63662369258115,0.005631728888488262,21.901332587447495,10783.245194666666,81934744274536199,15266050336225615837,11695111462505008692,541165879296,505126,1.5071390849260882,169.16499999999988,22391438.454378802,0.5290840400871459,0.5059086222222222,203,211,213,docs003.JPG
75481,960,1280,1.3333333333333333,0,588550232,41.08577604959557,159.65446831597222,207,26508,254,5,209,24122,254,3,207,19917,254,5,153.40622533333334,161.07127066666666,164.487208,155.0,164.0,168.0,43.82324647543349,38.09358426068327,36.45374902115841,39.45685991909173,38.02824445727561,161.25285733333334,0.0042703139311081155,0.0039062495,0.00033666665,0.004646514,0.02469159241444094,0.020339751603560472,0.024711289800146537,93000,0.061064784358682636,28.511806666666665,21.0,34.94392001387302,20.812536,15.0,26.719597425523418,164.86199333333334,168.0,36.564010331106864,32.74250925683443,99,567148.5,5728.772727272727,54919.814883838735,277,2.797979797979798,2.632277494428102,121.77187685487172,26.828048006270404,0.000132,6.203032494568317,360,414,0.03178,0,0,0,419688.0,961.4646533333333,961.4646533310299,6861637,54.22116655106666,6251123.892686979,8278.299256564816,11846.412877333334,29.699737797722786,125.53916108602482,0.0035461969142839412,39.45685991909173,11846.412877333334,18446743952943054976,3905199280411841328,17691718929844569502,541165879296,1240876,1.6386976888644063,109.52799999999998,11471762.376982244,0.5067835956427016,0.5269990065359478,201,201,202,docs004.JPG
83123,1536,1444,0.9401041666666666,1,1005137904,15.89241686960051,151.0587849145891,160,165349,10,1,159,176481,203,1,163,174570,12,1,150.50678936170212,149.53598510638298,153.14066063829787,155.0,155.0,158.0,15.582381030678057,15.192255332684057,15.76334938184396,15.51266191506869,15.220226081433221,150.61783936170212,0.010620479308567307,0.0039062498,5.319149e-06,0.011533426,0.02546890806855749,0.024736480754683085,0.02384532822301542,117000,0.05685996780633358,121.61653936170212,170.0,72.65846498152014,8.619954255319149,7.0,8.580785085221425,153.84665531914894,159.0,14.39956013971834,31.879603402153304,139,896688.0,6450.992805755395,75773.70690094777,369,2.6546762589928057,1.9552998637196966,129.71064718302208,4.50383129147854,0.0001478723404255319,6.858228081727395,604,155,0.030901063829787235,0,0,0,809535.5,94.24943936170213,94.24943868895315,5275262,11.70727336467972,6736274.059527416,3985.2616041120805,2077.8120319148934,14.64409614436834,105.74900043540846,0.01714066392076681,15.51266191506869,2077.8120319148934,4485373295834636033,17650701923875224311,9286200283355094727,481153777664,40501,2.0708439564993197,119.41276595744681,16851124.765343975,0.5477034292866083,0.5289407759699625,157,156,159,docs005.JPG
91679,902,1600,1.7738359201773837,0,689288312,27.001046343307124,159.20369364375463,171,61554,204,1,174,67330,207,1,178,63671,211,1,156.52883865248228,158.53440957446807,162.53810638297873,167.0,168.0,172.0,25.69582626577872,26.13575721770835,26.102596573967283,25.978060019151446,26.09791642494096,159.53298581560284,0.00702403515714114,0.00390625,1.7730497e-06,0.007241086,0.0260994525606771,0.02827902952073401,0.02309833025879829,70000,0.05335328607445166,28.86956914893617,13.0,50.75384836953661,10.121945035460993,10.0,7.207733728962051,162.538335106383,172.0,26.101676638243376,28.02108624558068,46,509758.5,11081.70652173913,73820.31020944916,142,3.0869565217391304,2.526606995785676,129.4258821987507,5.35962746704874,8.156028368794327e-05,6.278547783110335,671,988,0.05438297872340426,0,0,0,459625.5,571.0343138297873,571.0336968711302,7048750,24.2001092729742,4561746.817572345,6304.8854743409765,5410.499290780142,27.114443140976395,124.98319769961218,0.007141199548601162,25.978060019151446,5410.499290780142,18301232492964511744,9320009460026974211,14675371724377842285,541165879296,939907,1.7343259777327615,167.57799999999992,2947001.3544070316,0.5108926157697121,0.5197528762805359,170,173,177,docs006.JPG
98211,1200,1600,1.3333333333333333,0,867895319,18.124481769650956,150.67627065972223,149,193091,20,1,156,161277,47,1,163,148189,47,1,141.865412,150.73909466666666,159.424032,147.0,156.0,164.0,16.532567679289166,15.654808305255887,16.01234372380447,16.066573236116508,15.579186197182384,152.41475466666665,0.009167503868544804,0.0039062498,0.000136,0.012950214,0.02375728890748154,0.01723117812693488,0.024891157410631307,93000,0.061956971724082585,16.602806666666666,15.0,11.789989035446794,29.760510666666665,27.0,14.625597954473047,159.89096266666667,164.0,14.744226040271029,13.71993767673029,30,724338.5,24144.616666666665,128368.39391608327,147,4.9,3.5246749259092436,128.08610093239997,18.903098631901393,4e-05,6.200904776642711,981,1017,0.05532533333333333,0,0,0,714865.0,229.75776533333334,229.75776527049956,8398258,19.796049326718222,5775412.960337532,5248.477281000387,3666.289616,22.85181985035642,97.4879497629002,0.024471170437882567,16.066573236116508,3666.289616,11222962543679375105,3691879882892795647,18436932814840091796,541199433728,91126,1.7917881072724648,160.25199999999995,1501034.2907098203,0.5211410126361655,0.5445801272331154,148,157,165,docs007.JPG
104297,1600,902,0.56375,1,695576540,37.162317094913455,160.65607446415373,152,37982,224,1,154,41080,223,1,151,33390,240,1,157.84467730496453,160.29118971631206,163.8366560283688,158.0,161.0,164.0,35.97075036683906,36.84168070640381,36.581211067223435,36.46454738015543,36.423566901618486,161.04701418439717,0.004981824918536317,0.00390625,0.000120567376,0.0051699183,0.025517937258766946,0.023795955269213583,0.02388018945463893,70000,0.05702634483894484,32.000008865248226,16.0,39.172290896926064,14.33290780141844,10.0,20.218924462945793,164.89867730496454,165.0,35.474741084158275,31.621985481343376,10,555482.0,55548.2,166369.55854395358,45,4.5,3.0740852297878796,134.0520122360869,20.54402073506675,1.773049645390071e-05,5.977556525412077,833,1415,0.07089539007092198,0,0,0,302595.5,518.8472127659575,518.8472124025451,8513173,31.120124112456615,4538453.713528089,6849.908616976877,6569.602347517731,33.88806789922786,130.9872932354367,0.0035976356856105137,36.46454738015543,6569.602347517731,18446711924818215042,9405211494750496262,17690283838629832411,532576206848,904501,1.7241357212614807,191.7960992907802,7274662.139871201,0.5059442080378251,0.5077811709080795,147,149,152,docs008.JPG
105603,1403,1987,1.4162508909479687,0,1937557504,27.531100888526282,231.67427241192246,250,457393,16,72,240,454206,1,69,227,442018,253,104,242.28043626062322,233.00913031161474,219.7823059490085,248.0,240.0,226.0,23.96773956046747,24.8848949925006,24.440384083985546,24.43100621231787,24.510483161085478,230.07297733711047,0.010413459274152197,0.00390625,0.00011473088,0.017794654,0.02222232185140619,0.007768075058370435,0.024742496596667024,88000,0.06121911378360789,101.6874745042493,102.0,7.331472228570591,25.374148725212464,23.0,15.18030771075403,242.5161161473088,248.0,22.63190541108028,15.047895116801634,1,701317.0,701317.0,0.0,4,4.0,0.0,231.6906241737488,9.232020750492705,1.41643059490085e-06,4.078175689484832,274,93,0.022743626062322945,0,0,0,700607.0,1016.7931444759207,1016.7419198353574,5017428,58.90091498963756,5865204.892293254,8913.807258015393,11924.201243626063,25.515937205461263,82.38677998931891,0.05335458348201487,24.43100621231787,11924.201243626063,1223290145436803328,7040121340405730179,16923481031205966997,489743712256,2032222,1.6125614808813058,231.65600000000015,21940583.051779054,0.5468943620507694,0.5789402210742653,246,237,223,docs009.JPG
