filesize,size_w,size_h,aspect_ratio,landscape,sum_pixels,std_pixels,mean_pixels,pop_b,pop_n_b,rare_b,rare_n_b,pop_g,pop_n_g,rare_g,rare_n_g,pop_r,pop_n_r,rare_r,rare_n_r,mean_value_b,mean_value_g,mean_value_r,median_value_b,median_value_g,median_value_r,std_deviation_b,std_deviation_g,std_deviation_r,color_diversity,contrast,brightness,hist_std,hue,saturation,value,hog_features_mean,hog_features_median,hog_features_std,hog_features_len,hog_variance,h_mean,h_median,h_std,s_mean,s_median,s_std,v_mean,v_median,v_std,color_harmony,n_objects,area,area_mean,area_std,vert,vert_mean,vert_std,color_mean,color_std,object_density,shape_complexity,corners,lines,edge_density,faces,blink,has_humans,has_text,sharpness,blur_metric,gaussian_blur,edge_sharpness,gibson_blur,spectrum,gradient,gradient_magnitude,gradient_direction,texture_energy,color_balance,focus_score,average_hash,dhash,phash,colorhash,dominant_frequency,frequency_spread,frequency_asymmetry,phase_congruency,symmetry_0,symmetry_1,dominant_b,dominant_g,dominant_r,filename
9880502,3472,4624,1.3317972350230414,0,1842603568,88.09358842517094,127.43177218705318,255,2567851,233,5481,255,2965222,241,11536,255,1068291,2,5537,96.80198002663116,127.83453395472704,157.68919707057256,60.0,107.0,170.0,92.79242910167915,80.15924916592772,60.884178813290525,77.94528569363247,72.0414568657027,133.23920639147804,0.007131119966472417,0.0039062498,0.0034660453,0.012111055,0.031768846277863624,0.03631299697171691,0.01535208917779975,93000,0.02356866421231162,41.87018375499334,18.0,44.44622334439769,142.6610585885486,159.0,77.65813310076179,168.5026444740346,171.0,66.75877578868834,62.9543774112826,7193,321235.0,44.659391074655915,2646.0993334866957,23182,3.222855554010844,3.491121239011962,126.52488458832845,51.01682206737326,0.009577896138482023,9.976263240183648,1000,26691,0.259797603195739,0,0,0,219383.0,6835.208985352863,6835.208984997005,46616497,118.07701100784581,7232542.51644387,21305.087055103853,26645.395091877497,113.04679713895614,163.0683984270633,0.0011775347764625933,77.94528569363247,26645.395091877497,18410588557988069376,14335266614000618553,11207918938177829146,154619019264,1206481,1.9188770001317643,64.08700000000003,5040036.420762038,0.5001130066229776,0.5385436411581943,60,121,181,superb0001.jpg
15396749,5760,3840,0.6666666666666666,1,2616796811,60.25618086178709,168.890025242935,167,175684,255,774,215,372190,255,618,224,373981,3,3566,136.8170584707646,177.8543913043478,191.97640629685156,146.0,197.0,210.0,58.06421995380375,53.25558837492854,50.50564992376964,53.941819417500646,51.88059000174929,177.39781859070465,0.0028099873885087325,0.0039062498,0.003394303,0.004326251,0.03211686654733658,0.03703259404087268,0.014781978302824461,83000,0.02185068825451731,25.4772023988006,25.0,19.200472388447746,81.62891154422789,74.0,46.961568160173705,192.63109745127437,211.0,49.89058028189857,38.68420694350667,56,660326.0,11791.535714285714,87429.89660359205,170,3.0357142857142856,3.0352940885656587,120.80725157282875,31.056530039013225,8.395802098950524e-05,6.040762322193516,1000,22921,0.18838980509745126,5,2,1,516877.5,1461.9522338830584,1461.9521618749848,24177607,81.73041617104266,5907310.542881072,13559.509897589702,17409.68048875562,87.91597554538366,180.46015496555933,0.00037999985544225583,53.941819417500646,17409.68048875562,18446737381363023874,15628277526020199354,16828707523688867254,472446402560,1435501,1.814265772573212,132.44527736131943,6734.7854931172715,0.5015546971612233,0.5046176362798993,180,215,225,superb001.jpg
9169799,3840,5760,1.5,0,3192719191,75.7010205279529,177.5694110333478,249,1219373,255,603,249,1197641,255,1118,248,922822,1,4908,165.0933448275862,182.54408995502249,185.08447826086956,166.0,205.0,219.0,82.49519476493307,70.99007153803471,70.6780002086305,74.72108883719942,71.42480114854035,181.32886806596701,0.006339067153513088,0.0039062498,0.0011071964,0.007493435,0.024585817580619968,0.021770908373811772,0.023788632133083687,83000,0.056589901876318176,64.11949775112444,55.0,39.820517573704414,47.65008245877061,38.0,46.22761929410162,189.84451574212895,222.0,69.60405056195052,51.88406247658552,148,494528.5,3341.4087837837837,32414.841285971463,559,3.777027027027027,3.502549160381787,122.98246383114709,27.097650533590002,0.00022188905547226387,7.567409570806264,431,1607,0.04052923538230885,1,0,1,456395.0,303.9327781109445,303.93277587665904,5427837,16.8685408643302,5404134.787263681,6965.702215988489,3670.5288515742127,23.60482731719771,131.24115947440288,0.01030511728803357,74.72108883719942,3670.5288515742127,18446744000695108679,15051197485939199116,12955994448632826266,543313362944,1523761,1.8287051799561358,158.65600000000006,595910.5900602118,0.4995799668793054,0.5751279497506149,243,242,240,superb002.jpg
14887925,3840,5760,1.5,0,4249845525,64.0542970892769,128.77382361894772,0,537424,253,1196,148,164577,0,2021,255,161351,0,14,85.97974812593704,140.99674962518742,159.3262548725637,73.0,143.0,162.0,59.03588470427024,52.63533878475589,54.45239973242419,55.37454107381677,52.14932885564164,140.2047796101949,0.0013322752364815767,0.00390625,0.0027091454,0.002218676,0.030123595092247945,0.036266127812204896,0.018508620098151973,83000,0.034256901793771506,26.25944827586207,23.0,22.453392338835737,128.3907271364318,131.0,58.886414813148846,159.98344827586206,163.0,54.257228472183385,45.19901187472266,407,419622.0,1031.012285012285,17573.097399082435,1954,4.800982800982801,3.604828732255304,119.06182551491816,37.40122996446631,0.0006101949025487256,6.222188311320957,1000,10156,0.10800899550224888,1,0,1,366441.0,406.3967031484258,406.396590126344,11062213,33.10966034547046,5505248.217149809,9120.926928117064,7907.797913043478,57.41747111398104,176.6480368402657,0.00021117405213370708,55.37454107381677,7907.797913043478,10952794773093351218,3564819783300319842,16436480492562334515,128849051648,467233,1.8202804655099236,74.40500000000006,7462.043247643928,0.5007258723579386,0.5024959049886821,83,155,178,superb003.jpg
14806490,3840,5760,1.5,0,4087863958,65.43004205100678,126.33269516179591,0,1306141,255,28,194,191274,254,24,229,263633,3,4736,78.7808395802099,133.24108695652174,166.97937631184408,74.0,133.0,175.0,56.18654855546436,50.19305424232306,55.287591271258506,53.88906468968198,50.13633794512195,137.12054872563718,0.0017790804910347456,0.00390625,0.0032271366,0.0028845046,0.029451518398879478,0.03676285654751152,0.01956036971062409,83000,0.03826080632163002,23.8782143928036,20.0,23.613266486721535,139.16400749625188,145.0,72.62573987606373,167.58205247376313,175.0,54.39320509627028,50.21073715301852,378,387925.0,1026.2566137566137,14116.807566303492,1021,2.701058201058201,2.892802405716194,116.04382482865834,47.99132044638789,0.0005667166416791604,7.996780375084694,532,3951,0.05697751124437781,1,0,1,339933.5,294.6964227886057,294.6964227829863,6586955,20.867269860102184,5391874.766389406,7222.951060545052,4486.501985007496,31.58490594597003,161.0204990006585,0.0007591759763856291,53.88906468968198,4486.501985007496,1017663240570542618,17940325182935192274,9924270101053649774,188978659328,1523761,1.8764591020158548,34.09500000000004,2235509.603932781,0.5044912053777033,0.5024582767439809,51,124,168,superb004.jpg
14059714,5760,3840,0.6666666666666666,1,2689245988,66.47263703802011,105.25495038821373,20,207122,255,1126,61,169127,255,1369,253,154096,0,1215,82.4418635682159,110.52118290854573,122.82653673163418,72.0,103.0,110.0,58.249512260836376,59.987877319895475,72.60913585180035,63.61550847751073,62.22888842982613,110.99547226386807,0.0018643600934002413,0.0039062505,0.0037046478,0.0016491645,0.02983633329508473,0.03714035447375995,0.01896821590814239,83000,0.035979321473790606,25.41652923538231,20.0,22.391012559195634,93.83115292353823,104.0,52.788253958926184,126.49796551724138,114.0,69.90282082061832,48.36069577958005,216,254619.0,1178.7916666666667,15326.333847098214,529,2.449074074074074,2.5124134542076075,118.11146274562343,30.94045228921312,0.00032383808095952024,8.586610036551047,602,3457,0.05132383808095952,1,0,1,291264.5,347.40721139430286,347.40721134506805,6412574,21.16833133395297,5441944.727317824,7605.221974602878,4589.43372113943,31.078559019339355,177.1826431708765,0.000661359091606652,63.61550847751073,4589.43372113943,2169675333730627708,17649862520079507937,14849940774122381798,166429982720,796501,1.8659425513331656,36.28335832083957,1570708.5306293,0.5012667156617769,0.5008849144055423,37,57,55,superb005.jpg
12415546,3840,5760,1.5,0,1808343391,61.43956560387454,156.70630158600983,60,173703,3,8909,225,208865,0,16,231,305486,0,48,132.67067616191903,162.3480059970015,175.05116791604198,124.0,165.0,191.0,62.990109621487626,53.629481934898074,58.247313528326536,58.288968361570745,54.70906771924864,162.76582308845576,0.002006059161390908,0.00390625,0.003868066,0.0030109466,0.028621935789684024,0.0353553390538031,0.020752453080648964,83000,0.04306643088645366,28.919305847076462,20.0,26.507672216826833,72.02704647676163,72.0,47.64173771532763,177.88693703148425,192.0,55.768522240033526,43.30597739072933,172,514881.5,2993.4970930232557,38223.966529312514,693,4.02906976744186,3.347035004405227,128.63700136067968,17.32166725208047,0.0002578710644677661,7.2985350129611595,995,7256,0.08046176911544228,2,0,1,435861.5,385.68019940029984,385.68019939398596,9917539,23.50262518735011,5480728.283292498,8068.167716396478,5130.802884557721,37.9037206897822,170.19581898785387,0.0005982943918185023,58.288968361570745,5130.802884557721,8664991913183951815,16252058154446939919,13997726177407523468,467077693440,829414,1.8086816351963022,96.24200000000013,201788.26800589816,0.5019972053189092,0.5039393244554193,116,158,183,superb006.jpg
510734,2048,1536,0.75,1,983334659,74.60277736615436,104.19788985782199,0,248561,250,950,0,237380,246,510,254,308680,142,2065,97.24458533333333,89.37420266666666,125.97410533333333,95.0,91.0,94.0,61.0565476315521,56.673966925114016,94.82060057549604,70.85037171072072,59.3172970732314,101.209504,0.005645676345295869,0.00390625,0.0028499998,0.010494215,0.02766774982554896,0.03212941553729752,0.02046452281479392,93000,0.041879669403722085,109.647536,104.0,55.57359920977499,116.619064,112.0,57.051326035689726,145.094184,143.0,86.96181729955285,66.52891418167252,124,271789.5,2191.8508064516127,15546.873405589782,647,5.217741935483871,3.6600733376024737,125.3619468529057,43.401633392835556,0.00016533333333333333,6.205431610825739,341,72,0.029114666666666667,0,0,0,429677.5,45.501884,45.501863315696,3412460,11.748841382222228,5170575.242863258,5370.832348007035,2874.0816213333333,26.162377061228472,164.81134785034274,0.005433721447927635,70.85037171072072,2874.0816213333333,16955012584822779,4281178101072178194,9232237641665114453,618744250369,52501,1.9922598323161516,35.63466666666668,4894751.363618474,0.5077388827886711,0.5149501629629629,140,109,242,superb007.jpg
9898746,5529,3691,0.6675709893289926,1,158769308,43.313082008505624,72.7465897774347,81,240969,253,4,84,260517,253,2,84,249963,254,3,72.13385179640719,71.68811826347306,74.45134431137724,72.0,73.0,76.0,43.468368926893845,41.94529218719219,43.7210934888191,43.044918200968375,42.252602272338585,72.547,0.004091040191033421,0.00390625,0.0007155689,0.003965795,0.032317073207608175,0.03698354934258026,0.014338995037180873,83000,0.02056067786762977,57.753694610778446,15.0,52.63085450219567,49.080357784431136,44.0,29.05241503855728,80.15701497005988,82.0,45.62308336270942,42.43545096782079,225,43919.5,195.1977777777778,1285.6191564100136,772,3.431111111111111,3.340779830599917,129.35839947388465,15.31630313460338,0.00033682634730538923,6.622297969038093,454,175,0.02727994011976048,5,0,1,395273.5,146.15665718562875,146.15665526815008,5035938,12.25747736031903,5156558.062514793,5424.562138973486,2699.2749221556887,25.15431775030336,170.89123547414553,0.0008716840503773551,43.044918200968375,2699.2749221556887,2179530276888314494,17650390795939665632,9772384743254028841,1013629059072,1897501,1.8580680277356587,14.470059880239525,570772.5284156041,0.5076070290790967,0.5030132362725529,84,84,87,superb008.jpg
14407769,5923,3954,0.6675671112611852,1,1673612047,64.00307957150854,84.9515523261158,6,381807,254,6,0,1145809,244,38,0,1519533,251,93,89.16055239520958,80.33990419161677,85.29392215568862,85.0,77.0,83.0,65.83904632384042,60.379634394148,64.30013877352029,63.506273163836234,61.345055321471506,82.81847155688622,0.0031049452002446035,0.00390625,0.0028046407,0.0022383006,0.03088897124546162,0.03655346098501121,0.016907733576030776,83000,0.02858714546780384,97.45022155688623,112.0,48.92645829720151,91.90924700598802,67.0,66.89955901147633,99.1808622754491,100.0,68.4518187226761,61.425945343784655,553,191448.5,346.1998191681736,3402.2202974509087,2052,3.7106690777576854,3.341802486104231,132.85436170563034,18.51569995356787,0.0008278443113772455,7.775390367780227,1000,9210,0.09258682634730539,1,0,1,325238.0,283.94354041916165,283.94353526191117,10518820,21.81984408475564,5379640.193912664,7454.193348133554,4924.831431137724,42.83219774758367,179.45032393113277,0.0010357482646827483,63.506273163836234,4924.831431137724,3472315328710015770,16206437234128114258,13926836375152308988,1563384872960,661501,1.7392528671232015,49.41616766467063,2240432.0162773873,0.5021515870220343,0.5053822707526124,22,18,21,superb009.jpg
