size_w,size_h,aspect_ratio,mean_value_b,mean_value_g,mean_value_r,median_value_b,median_value_g,median_value_r,std_deviation_b,std_deviation_g,std_deviation_r,contrast,brightness,hue,saturation,value,hog_features_mean,hog_features_median,hog_features_std,hog_features_len,h_mean,h_median,h_std,s_mean,s_median,s_std,v_mean,v_median,v_std,n_objects,area,area_mean,area_std,vert,vert_mean,vert_std,color_mean,color_std,corners,lines,faces,blink,has_text,filesize,sharpness,blur_metric,gaussian_blur,gibson_blur,gradient,texture_energy,color_balance,focus_score,average_hash,dhash,phash,colorhash,filename
498,1892,3.7991967871485945,229.82379942603396,229.6599081314688,230.30826264890428,254.0,254.0,254.0,42.74926629814239,42.96168700428507,43.24966153430368,42.7921654937868,229.87455742632264,0.0039062498,1.3797261e-05,0.034539387,0.02191531578694627,0.0,0.027743808906756356,117056,31.551840554607438,0.0,55.02338877346056,2.1509621997503756,1.0,14.784123689608483,230.93757376227956,255.0,41.81789009814922,8,918223.0,114777.875,303327.8782566348,84,10.5,2.29128784747792,212.6534739062697,11.284741800490421,100,651,0,0,914298.5,146325,927.755155930275,927.7551559056021,11192752,8085653.329070475,14258.835776509844,0.19552249174787617,42.98687161224371,14258.835776509844,13835048162328248831,3774101259274512745,11507964275238888612,489626304896,2022-01-20_11-11-02.png
1176,2634,2.239795918367347,240.30508970862454,242.94080773919288,242.85659920764053,255.0,255.0,255.0,41.7048842944859,41.8013098669562,44.5985091448138,41.654055303381185,242.61218097717446,0.00390625,3.954695e-05,0.055373564,0.02095366154467874,0.0,0.02842438929419686,386904,27.826732705230917,0.0,46.26760529749538,8.883662880490085,0.0,30.655051898041787,245.19835781693087,255.0,36.87811343896185,16,3078770.5,192423.15625,745199.524430574,42,2.625,2.057759704144291,165.54030498984585,40.85667691613312,100,10038,0,0,3078703.5,541878,1883.2855228461924,1883.2855221225645,37875286,29615842.316934895,24427.885861368086,0.43668538053557193,42.701567768751964,24427.885861368086,9736529265369284559,3815528680696820632,10957140198151175811,481086702144,2021-12-16_10-31-19.png
3120,4160,1.3333333333333333,119.95957254684419,121.21664486254932,128.14989852995564,102.0,103.0,123.0,84.03920113536351,83.9102080908874,84.9254872988107,83.11570672851778,123.14997095352564,0.00390625,0.0030603195,0.005964196,0.03034424750143809,0.036941510062030905,0.015239849858186959,1622400,56.40976770525148,25.0,51.75776637508055,84.76074018429487,87.0,66.70553197890774,140.12972910502958,134.0,79.29198403386823,4399,5681812.0,1291.6144578313254,60045.955591357844,13491,3.066833371220732,3.0098100946460717,128.71688538983747,28.17752625543297,100,16480,2,1,5160448.0,3673295,42.610451568663706,42.610451507230046,47349703,111017166.2640909,1136.6462248828896,0.009977008504289174,84.29163217502054,1136.6462248828896,2240293454683177510,11954792496132710124,11866655412318737528,781717635072,2015-02-14 11-23-30.JPG
3120,4160,1.3333333333333333,118.1653685897436,116.82640678932445,120.15374098557692,98.0,96.0,111.0,85.05389063556025,84.35813463464828,85.39645641033391,83.77298878517516,117.97824303500987,0.00390625,0.0029863166,0.0054119565,0.030593306306268886,0.03706864706717599,0.014889138425134207,1622400,60.86275571683925,66.0,50.77754417207619,83.39292976454635,85.0,65.81695466252219,133.7002577200444,124.0,80.92745952071046,3611,5383232.0,1490.7870396012186,82704.97183824447,9796,2.7128219329825534,2.8966886022883482,129.2898820117484,26.278909932101694,100,390,2,1,5149753.5,3443710,28.804941598865877,28.80494157425888,30569016,108482054.73424257,547.7200077046351,0.008432704581272613,84.93616056018081,547.7200077046351,2242545357576143618,18354410351115599534,11857086303168742247,781734379520,2015-02-14 11-23-31.JPG
3120,4160,1.3333333333333333,109.47257912660257,112.73022982926528,119.92677961661735,94.0,98.0,119.0,76.11838021888454,76.83050172469348,79.48538878796279,76.24670550390064,114.51873459072978,0.00390625,0.0035298401,0.0023792486,0.03234203233675868,0.037330421582950246,0.013199560501339897,1622400,57.69670958148422,39.0,48.69996842069661,86.29848519169133,85.0,63.64786268733158,131.71751502403845,126.0,75.12347255704378,5110,5201894.5,1017.9832681017613,69873.83795701727,16429,3.2150684931506848,3.065834700719925,128.14085825814146,23.362563115026713,100,22000,1,1,4742391.5,3853163,43.80040665064102,43.800406550659716,49399683,111285007.88943462,1046.0872477502467,0.001515329739662531,77.47809024384694,1046.0872477502467,2242017574747834167,13382995444001394671,10004942775531180006,781717635072,2015-02-14 11-23-19.JPG
3120,4160,1.3333333333333333,86.83271911982249,116.21776658037476,162.94733103735206,74.0,118.0,179.0,56.216156862794165,62.767696053949315,56.85703117598397,58.132433232629545,126.85485954450198,0.0039062505,0.002997334,0.0027677573,0.03258276866848743,0.037563416470698184,0.013714663034129753,1622400,25.027612102440827,14.0,39.406721156984844,128.40749560835798,135.0,59.93500597181807,163.57389060959073,179.0,56.007028806977004,8794,6870046.5,781.219752103707,66693.45324925201,43026,4.8926540823288605,3.410085935504805,122.20318507713196,46.445164189530104,100,72002,2,1,7178965.5,4156150,90.11537629437869,90.1153762159,101135050,114531878.78274812,3066.0190153476333,0.00047070073127502524,58.61362803090915,3066.0190153476333,17293813651723126272,950658704328101081,17856238366588654343,163208855552,2015-02-13 18-42-59.JPG
3120,4160,1.3333333333333333,46.80380763067061,61.33994953464004,103.64768891765286,17.0,23.0,96.0,58.9430460637604,68.48678208201254,58.660387358162616,60.021445925393834,72.34876109467456,0.00390625,0.0017111225,0.0032688258,0.032722177157312064,0.037796447294173356,0.013385775782899153,1622400,24.263649069280078,2.0,42.29828469761893,182.39117719119824,212.0,68.71840918061534,111.62369367911735,100.0,54.5474208711128,2136,2609135.0,1221.505149812734,29353.86598077892,5959,2.7897940074906367,2.782251929689998,117.38809834467823,51.105101381734926,100,2363,1,0,3139741.5,3382896,22.51847710182446,22.51847707458853,26234165,107169159.0392166,630.0050275825937,0.001405306649992859,62.030071834645184,630.0050275825937,14702928195255392,17539384720861288642,15217210809644759683,558345977856,2015-02-20 20-33-42.JPG
3120,4160,1.3333333333333333,76.55825143306213,106.50900587093196,133.0385912074704,63.0,105.0,145.0,53.8557125591327,60.83929824839696,65.62946817068648,60.005391043512006,111.03690974790435,0.0039062505,0.002433355,0.0027009032,0.03270966185503418,0.03760279675975308,0.013387354679904035,1622400,19.525091222879684,15.0,22.249724135460742,120.33231023483728,118.0,44.027362786519554,134.96719304733728,146.0,63.86060579681458,5405,5592854.5,1034.7556891766883,40094.79159226573,14831,2.743940795559667,2.7344925324456177,121.16763594007725,33.629043148701406,100,27068,1,0,7163591.0,3498274,35.226661042283034,35.22666104211745,44630467,109330254.60569818,1260.3123130855522,0.0007212824918543155,60.10815965940537,1260.3123130855522,235035348202151139,15461652247765758094,11901177108385992053,678604832768,2015-02-13 18-43-31.JPG
824,1326,1.6092233009708738,245.4278745478774,245.40510367701972,245.3121512981593,255.0,255.0,255.0,43.2520108836782,43.23811940422263,43.626447328857346,43.30226016282519,245.38322423816427,0.00390625,1.5558875e-05,0.058191698,0.020928002193513696,0.0,0.028495942216851197,135960,25.705438467395922,0.0,47.24506741791283,3.099683880273543,0.0,24.244171255066824,245.77177876378335,255.0,42.54910505891531,1,1090475.0,1090475.0,0.0,4,4.0,0.0,245.38170984101882,0.050056110539120624,100,576,0,0,1090475.0,175142,2580.3429029565523,2580.342902945668,12092849,10075984.036398897,41928.2163379168,0.5605208581893999,43.37219253891939,41928.2163379168,4548355865036431359,17361723439839737984,11458213622077947498,532575944896,2022-01-23_21-51-33.png
4160,3120,0.75,93.83566660502959,126.23237241124261,152.61857156065088,88.0,135.0,171.0,54.25232197484244,56.37248301974204,61.618488800186114,55.59270346589236,130.43856547398914,0.00390625,0.0033678117,0.003040041,0.033349180894850235,0.03760227532096544,0.011739668040180411,1622400,22.54875007704635,16.0,21.146653504796713,117.71484367295365,124.0,47.91601788855725,156.88450551651874,173.0,56.763953630225096,5171,7560640.5,1462.1234770837361,102880.18282850452,15353,2.96905820924386,2.9566274002200825,120.79071200448182,36.832285724040375,100,237,1,0,8092736.0,3555920,23.730167883999012,23.73016786738412,27678620,107496544.25304523,442.20177715113414,0.0006599718769370378,57.41443126492353,442.20177715113414,4557567784464220135,17938525653113602828,18232121879864835493,197568528384,2015-02-23 16-01-32.JPG
